HDI rank,Country,HUMAN DEVELOPMENT,GII VALUE,GII RANK,Maternal_mortality,Adolescent_birth_rate,Seats_parliamentt(% held by women),F_secondary_educ,M_secondary_educ,F_Labour_force,M_Labour_force,
118,Kyrgyzstan,MEDIUM,0.370,87,60,34.7,20.5,100.0,99.8,42.1,71.7,
120,Venezuela (Bolivarian Republic of),MEDIUM,0.492,123,125,82.7,22.2,79.8,75.4,34.3,67.8,
121,Iraq,MEDIUM,0.558,145,79,62.2,28.9,42.0,52.9,11.1,71.8,
122,Tajikistan,MEDIUM,0.285,68,17,45.4,23.4,93.5,94.6,30.2,50.5,
123,Belize,MEDIUM,0.364,86,36,57.1,19.6,54.5,49.8,46.9,76.8,
123,Morocco,MEDIUM,0.425,104,70,25.9,20.4,30.9,37.1,22.0,66.0,
125,El Salvador,MEDIUM,0.376,88,46,55.9,27.4,42.7,51.4,43.6,72.6,
126,Nicaragua,MEDIUM,0.424,102,98,85.6,50.5,51.2,49.7,46.8,81.3,
127,Bhutan,MEDIUM,0.415,98,183,19.0,16.7,23.6,32.3,51.6,67.4,
128,Cabo Verde,MEDIUM,0.349,84,58,55.2,38.9,28.8,31.2,46.9,61.7,
129,Bangladesh,MEDIUM,0.530,131,173,75.5,20.9,50.6,58.5,34.9,78.8,
130,Tuvalu,MEDIUM,..,..,..,33.1,6.3,60.0,60.7,..,..,
131,Marshall Islands,MEDIUM,..,..,..,58.0,6.1,91.6,92.5,..,..,
132,India,MEDIUM,0.490,122,133,17.2,13.4,41.8,53.8,19.2,70.1,
133,Ghana,MEDIUM,0.529,130,308,64.2,14.5,58.0,73.2,64.5,72.2,
134,Micronesia (Federated States of),MEDIUM,..,..,88,35.8,7.1,..,..,..,..,
135,Guatemala,MEDIUM,0.481,121,95,64.1,19.4,29.5,35.8,37.4,80.3,
136,Kiribati,MEDIUM,..,..,92,40.5,6.7,..,..,..,..,
137,Honduras,MEDIUM,0.431,107,65,72.0,27.3,35.8,44.8,42.3,78.9,
